ok,idx,attempt,elapsed_sec,window,cpu_final_equity,cpu_return_pct,cpu_pnl,cpu_maxdd_pct,cpu_maxdd_usd,gpu_final_equity,gpu_return_pct,gpu_pnl,gpu_maxdd_pct,gpu_maxdd_usd,cpu_gpu_diff_bps,gpu_backend,summary_json,engine,engine_note,strategy_profile,profit_lock_exec_model,runtime_profit_lock_order_type,runtime_stop_price_offset_bps,rebalance_time_ny,slippage_bps,sell_fee_bps,warmup_days,daily_lookback_days,anchor_window_start_equity,daily_synthetic_parity,daily_synthetic_parity_split_adjustment,cpu_score,gpu_score,combined_score
True,178,1,0.0016,2026-03-13 to 2026-03-26,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,0.0,cpu_fallback,/home/chewy/projects/trading-compose-dev/research/reports/gpu_native_daily_grid_20260327/gpu_native_00178_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26.json,gpu_native_daily_batch,daily_batch_no_minute_lifecycle,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,synthetic,trailing_stop,2.0,15:56,0.0,0.0,260,800,False,True,True,7.181113197717656,7.181113197717656,7.181113197717656
True,179,1,0.0016,2026-03-13 to 2026-03-26,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,0.0,cpu_fallback,/home/chewy/projects/trading-compose-dev/research/reports/gpu_native_daily_grid_20260327/gpu_native_00179_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26.json,gpu_native_daily_batch,daily_batch_no_minute_lifecycle,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,synthetic,trailing_stop,2.0,15:56,0.0,0.0,260,800,False,True,True,7.181113197717656,7.181113197717656,7.181113197717656
True,35,1,0.0016,2026-03-13 to 2026-03-26,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,0.0,cpu_fallback,/home/chewy/projects/trading-compose-dev/research/reports/gpu_native_daily_grid_20260327/gpu_native_00035_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26.json,gpu_native_daily_batch,,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,close_position,2.0,15:55,0.0,0.0,260,800,False,True,True,7.181113197717656,7.181113197717656,7.181113197717656
True,34,1,0.0016,2026-03-13 to 2026-03-26,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,0.0,cpu_fallback,/home/chewy/projects/trading-compose-dev/research/reports/gpu_native_daily_grid_20260327/gpu_native_00034_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26.json,gpu_native_daily_batch,,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,close_position,2.0,15:55,0.0,0.0,260,800,False,True,True,7.181113197717656,7.181113197717656,7.181113197717656
True,163,1,0.0016,2026-03-13 to 2026-03-26,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,0.0,cpu_fallback,/home/chewy/projects/trading-compose-dev/research/reports/gpu_native_daily_grid_20260327/gpu_native_00163_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26.json,gpu_native_daily_batch,daily_batch_no_minute_lifecycle,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,synthetic,trailing_stop,2.0,15:55,0.0,0.0,260,800,False,True,True,7.181113197717656,7.181113197717656,7.181113197717656
True,162,1,0.0016,2026-03-13 to 2026-03-26,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,0.0,cpu_fallback,/home/chewy/projects/trading-compose-dev/research/reports/gpu_native_daily_grid_20260327/gpu_native_00162_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26.json,gpu_native_daily_batch,daily_batch_no_minute_lifecycle,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,synthetic,trailing_stop,2.0,15:55,0.0,0.0,260,800,False,True,True,7.181113197717656,7.181113197717656,7.181113197717656
True,19,1,0.0016,2026-03-13 to 2026-03-26,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,0.0,cpu_fallback,/home/chewy/projects/trading-compose-dev/research/reports/gpu_native_daily_grid_20260327/gpu_native_00019_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26.json,gpu_native_daily_batch,,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,market_order,2.0,15:56,0.0,0.0,260,800,False,True,True,7.181113197717656,7.181113197717656,7.181113197717656
True,18,1,0.0016,2026-03-13 to 2026-03-26,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,0.0,cpu_fallback,/home/chewy/projects/trading-compose-dev/research/reports/gpu_native_daily_grid_20260327/gpu_native_00018_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26.json,gpu_native_daily_batch,,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,market_order,2.0,15:56,0.0,0.0,260,800,False,True,True,7.181113197717656,7.181113197717656,7.181113197717656
True,66,1,0.0016,2026-03-13 to 2026-03-26,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,0.0,cpu_fallback,/home/chewy/projects/trading-compose-dev/research/reports/gpu_native_daily_grid_20260327/gpu_native_00066_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26.json,gpu_native_daily_batch,daily_batch_no_minute_lifecycle,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,trailing_stop,2.0,15:55,0.0,0.0,260,800,False,True,True,7.181113197717656,7.181113197717656,7.181113197717656
True,67,1,0.0016,2026-03-13 to 2026-03-26,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,11064.790118679863,10.647901186798636,1064.7901186798626,6.93357597816196,709.6293536971498,0.0,cpu_fallback,/home/chewy/projects/trading-compose-dev/research/reports/gpu_native_daily_grid_20260327/gpu_native_00067_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26.json,gpu_native_daily_batch,daily_batch_no_minute_lifecycle,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,trailing_stop,2.0,15:55,0.0,0.0,260,800,False,True,True,7.181113197717656,7.181113197717656,7.181113197717656
