Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2025-06-09,10089.32,10089.32,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-10,10107.48,10107.48,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-11,10125.67,10125.67,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-12,10143.9,10143.9,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-13,10162.16,10162.16,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-16,10180.45,10180.45,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-17,10198.77,10198.77,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-18,10217.13,10217.13,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-19,10235.52,10235.52,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-20,10253.94,10253.94,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-23,10272.4,10272.4,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-24,10290.89,10290.89,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-25,10309.42,10309.42,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-26,10327.97,10327.97,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-27,10346.56,10346.56,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-06-30,10365.19,10365.19,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-01,10383.84,10383.84,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-02,10402.53,10402.53,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-03,10421.26,10421.26,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-04,10440.02,10440.02,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-07,10458.81,10458.81,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-08,10477.64,10477.64,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-09,10496.5,10496.5,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-10,10515.39,10515.39,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-11,10534.32,10534.32,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-14,10553.28,10553.28,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-15,10572.27,10572.27,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-16,10591.3,10591.3,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-17,10610.37,10610.37,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-18,10629.47,10629.47,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-21,10648.6,10648.6,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-22,10667.77,10667.77,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-23,10686.97,10686.97,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-24,10706.21,10706.21,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-25,10725.48,10725.48,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-28,10744.78,10744.78,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-29,10764.12,10764.12,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-30,10783.5,10783.5,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-07-31,10802.91,10802.91,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-08-01,10822.35,10822.35,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-08-04,10841.84,10841.84,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-08-05,10861.35,10861.35,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-08-06,10880.9,10880.9,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-08-07,10900.49,10900.49,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-08-08,10920.11,10920.11,0.0,0.0,0.0,"{""SOXL"": 51.30922129731581}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
