date,SOXL,SOXS,TQQQ,SQQQ,SPXL,SPXS,TMF,TMV
2024-01-25,36.575836181640625,858.1083984375,27.619619369506836,258.5993347167969,109.39995574951172,99.15353393554688,50.67911148071289,32.457542419433594
2024-01-26,33.51142501831055,929.7705078125,27.111042022705078,263.3521728515625,109.00685119628906,99.52111053466797,50.38166046142578,32.672119140625
2024-01-29,34.52632522583008,902.208251953125,27.908140182495117,255.5747833251953,111.4244155883789,97.22376251220703,52.147804260253906,31.50592803955078
2024-01-30,33.0384635925293,940.7955322265625,27.350664138793945,260.7597351074219,111.18855285644531,97.49943542480469,53.49565124511719,30.731571197509766
2024-01-31,31.629423141479492,983.057861328125,25.741798400878906,276.0985412597656,105.70480346679688,102.2779312133789,55.08518600463867,29.79861831665039
2024-02-01,31.974292755126953,972.032958984375,26.651369094848633,266.5927734375,109.68495178222656,98.51026916503906,58.10622787475586,28.165945053100586
2024-02-02,33.156700134277344,935.2830200195312,27.991275787353516,253.19834899902344,113.12457275390625,95.38587951660156,54.360137939453125,29.9665470123291
2024-02-05,34.58544158935547,894.8583374023438,27.84946060180664,254.49453735351562,111.85682678222656,96.48861694335938,51.06022644042969,31.795143127441406
2024-02-06,33.33406066894531,926.0955810546875,27.688081741333008,256.2228698730469,112.76095581054688,95.75346374511719,52.4080810546875,30.946151733398438
2024-02-07,34.841636657714844,885.6707153320312,28.514522552490234,248.6615447998047,115.54216766357422,93.45610809326172,51.7852783203125,31.328662872314453
2024-02-08,36.60539627075195,841.5711059570312,28.63188362121582,247.3652801513672,115.67973327636719,93.36421203613281,50.78136444091797,31.991065979003906
2024-02-09,38.74357986450195,791.9586791992188,29.472991943359375,240.2359619140625,117.55679321289062,91.8939208984375,50.45602035522461,32.159000396728516
2024-02-12,38.57607650756836,797.47119140625,29.12578773498535,243.2605438232422,117.36024475097656,92.07770538330078,50.595455169677734,32.08435821533203
2024-02-13,36.29993438720703,843.408447265625,27.746767044067383,254.9266815185547,112.53492736816406,95.8453598022461,48.01130676269531,33.735694885253906
2024-02-14,38.546512603759766,790.1212158203125,28.626995086669922,246.50112915039062,115.5323257446289,93.2723159790039,48.72705078125,33.278541564941406
2024-02-15,38.53666305541992,790.1212158203125,28.866609573364258,244.7727813720703,117.75334930419922,91.71012878417969,49.38703918457031,32.802730560302734
2024-02-16,37.76809310913086,806.6585693359375,28.07440757751465,251.6860809326172,115.93524932861328,92.99663543701172,48.51326370239258,33.40916061401367
2024-02-20,35.8860969543457,847.08349609375,27.42401695251465,257.5191650390625,113.9500961303711,94.74262237548828,48.578330993652344,33.35317611694336
2024-02-21,35.61020278930664,852.5960083007812,27.08170509338379,260.7597351074219,114.24491882324219,94.55883026123047,47.611595153808594,34.03423309326172
2024-02-22,40.81279754638672,727.6465454101562,29.424087524414062,238.0755615234375,121.27159881591797,88.76951599121094,48.16932678222656,33.6330680847168
2024-02-23,39.581119537353516,751.533935546875,29.15513038635254,240.2359619140625,121.39933776855469,88.58573150634766,50.13067626953125,32.280277252197266
2024-02-26,40.605873107910156,731.321533203125,29.11601448059082,240.88409423828125,120.12178039550781,89.59657287597656,49.62871551513672,32.634803771972656
2024-02-27,40.50733947753906,733.158935546875,29.296945571899414,239.15576171875,120.69178009033203,89.04520416259766,48.596920013427734,33.3065299987793
2024-02-28,39.2165412902832,757.04638671875,28.82259750366211,243.0444793701172,120.14141845703125,89.59657287597656,49.49858093261719,32.69078063964844
2024-02-29,42.211978912353516,698.2467041015625,29.517004013061523,237.427490234375,121.30107879638672,88.67762756347656,50.4653205871582,32.08435821533203
2024-03-01,47.621498107910156,610.0471801757812,30.871578216552734,226.62545776367188,124.84881591796875,86.19648742675781,51.35768127441406,31.487266540527344
2024-03-04,49.04038619995117,591.6721801757812,30.50481605529785,229.4340057373047,124.30828857421875,86.5640640258789,50.78136444091797,31.879106521606445
2024-03-05,46.153343200683594,624.7471313476562,28.871501922607422,241.74827575683594,120.58367156982422,89.32087707519531,52.92862319946289,30.516990661621094
2024-03-06,49.483795166015625,582.4847412109375,29.404529571533203,237.21142578125,122.39193725585938,87.85057067871094,53.80240249633789,30.041187286376953
2024-03-07,54.509029388427734,521.8475341796875,30.7150936126709,227.05755615234375,125.93965148925781,85.36945343017578,53.57001876831055,30.190460205078125
2024-03-08,48.23240661621094,584.3222045898438,29.37030029296875,236.7793426513672,123.56140899658203,87.0235366821289,53.346920013427734,30.311744689941406
2024-03-11,46.08436584472656,608.2095947265625,29.02798843383789,239.58782958984375,123.2076187133789,87.39112091064453,53.20749282836914,30.377052307128906
2024-03-12,48.853172302246094,569.6222534179688,30.26030731201172,229.21792602539062,127.15827941894531,84.45050811767578,51.82246017456055,31.188720703125
